,1,16,Avian influenza is an infectious disease of birds caused by type A strains of the influenza virus .
2525,5,12,"Orion , a giant stellar nursery which has spawned roughly 20,000 low-mass stars like the sun in the last 10 million years , also harbors a handful of massive type O and B stars that emit blowtorch-like radiation ."
2526,1,7,Social breakdown and poverty caused by civil war in several African countries has caused further increases in the rate of prostitution in those countries .
2527,5,7,"Advanced XML Converter has a wizard driven interface for converting xml files into HTML , CSV , DBF and XLS formats with ease ."
2528,1,5,The body was in a trunk of a vehicle .
2529,1,7,The technical terms are defined in the glossary section of this document .
2530,6,10,"Instead of sounding self-centered , the remark came from a person who is confused and unaccustomed to anything but personal success ."
2531,10,13,"A congressman from the state of Texas , presented a bill regulating interstate commerce carried on railways ."
2532,11,14,The opening lay just below the exit of the left subclavian artery from the arch .
2533,5,9,"New York is a weekly magazine concerned with the life , culture , politics , and style of New York City ."
2534,3,7,These are the walls of the Byzantine fortress that surrounds the Acropolis of Lindos on the Island of Rhodes .
2535,6,11,A model maker is a professional craftsperson who creates a 3-dimensional representation of a design or concept .
2536,8,12,"As the initial drug-loading was increased , the drug release from the matrix was decreased ."
2537,19,22,"The Postmodernism Generator was written by Andrew C. Bulhak using the Dada Engine , a system for generating random text from recursive grammars ."
2538,1,6,The queen was put inside her cage and then placed in the box with a bunch of worker bees four days ago .
2539,3,10,We accepted the claim that issued forth from the usual quarters .
2540,17,18,He places the bolt in the receiver so that it fits under the retaining rail as the bolt handle engages the groove in the bolt .
2541,2,6,The full press release from the studio is pasted at the bottom of this post .
2542,1,7,"Since hunger and poverty cause violence and unrest , the solution must be found in other than military action ."
2543,7,15,"However , recent research demonstrates that most ulcers of the duodenum are caused by an infectious agent named Helicobacter pylori or H. pylori ."
2544,3,7,"The discipline of political science revolves around government , public policy and ethics , foreign politics , law and judicial process ."
2545,1,6,The states are divided into smaller counties .
2546,10,12,My second question is regarding the sale of bones and hide of tigers going on in Delhi .
2547,3,7,All of the products grown by the defendant are grown either under glass or in special plots of ground .
2548,3,7,"Thus , the fisherman bought his own boat in 1991 , after renting one many years ."
2549,3,7,"To alleviate the inconvenience caused by the fence , the Cabinet approved a plan to construct 11 passages through the barrier to facilitate movement in and out of the city ."
2550,2,6,The sound waves cause disorientation and nausea .
2551,1,10,The sweetcorn produced a massive box of earwig filled sweet cobs .
2552,11,16,"A chocolate maker , on the other hand , is the person who physically creates the couverture from cacao beans and other ingredients ."
2553,1,6,"These images were found in a reliquary installed inside the Three-story Pagoda at the Monastic Site of Hwangboksa in Guhwang-dong , Gyeongju in 1942 ."
2554,1,5,"This house has a super-sized garage , but I guess this is a super-sized house ."
2555,4,7,Instead I again poured water into the hole and again water came dripping down in the place .
2556,1,5,The speech was about a conversation I had with my daughter .
2557,4,7,I already posted the product to your house last Friday .
2558,9,11,The Chaplain noticed one soldier looking at a a deck of cards .
2559,8,11,She had left her notebook out on the fire escape by accident .
2560,16,18,Mobil is now turning to fine art as a way of protecting some of its huge profits from inflation .
2561,2,10,Yesterday the team recycled 200kg of unwanted knitting wool into insulation .
2562,4,7,The strong winds blew snow into the snowdrifts .
2563,9,12,Training in the field is easily obtained in a furniture and cabinet maker diploma program .
2564,2,7,The little sparrows have flown into the wall .
2565,4,6,A city takes a stand against gang violence .
2566,2,9,The deputy commissioner is assisted by a number of officers belonging to Uttar Pradesh Civil Service and other Uttar Pradesh .
2567,12,13,"The upheavals of the late 17th century initiated the decline of the wool industry , and records show that by 1750 only two firms were producing cloth ."
2568,1,4,Other orders on environmental legislation and abortion issues were also under consideration .
2569,3,13,Here 's the theory I wrote down the other night on the cocktail napkin I fished out of my purse just now .
2570,1,14,"US researchers have found a gene responsible for turning a plate of pasta into fat , offering new clues ."
2571,4,14,"Strangely , today 's help for the crown-jewels enthusiasts has arrived from an unexpected quarter ."
2572,1,6,The area selected easily accommodated a pen that was 16 by 24 inches .
2573,1,6,My guns are locked in a safe and have trigger locks on them .
2574,17,20,A preface ( pronounced `` preffus '' ) is an introduction to a book written by the author of the book .
2575,1,5,"The clot later caused a seizure , leaving Nathan completely paralyzed on the right side of his body ."
2576,10,13,In ionic conduction charge carriers are affected by the electromagnetic radiation from the microwaves by being attracted or repelled by the electric field .
2577,4,8,Dispenser models hold the brew in a heated tank ; you fill your cup by pressing it against the dispenser lever .
2578,1,5,"An orchard of ripe black cherries , blueberries and plums join together in seamless harmony ."
2579,4,8,Sea turtles and sea lions use their front flippers to move forward .
2580,11,14,"His sport was indifferent , for he brought down only a leash of red deer , and a couple of wolves ."
2581,6,19,"When she got home , the child , who was waiting for her , killed her with a rusty nail ."
2582,7,13,"We already know ignorance , heat , boredom , greed and poverty cause violence even in the U.S ."
